"year","value","ices","unit","data_descrip","bhi_goal"
1994,3.926923077,"cod_2224",NA,"F/Fmsy","FIS"
1995,4.4,"cod_2224",NA,"F/Fmsy","FIS"
1996,4.265384615,"cod_2224",NA,"F/Fmsy","FIS"
1997,4.296153846,"cod_2224",NA,"F/Fmsy","FIS"
1998,4.35,"cod_2224",NA,"F/Fmsy","FIS"
1999,4.803846154,"cod_2224",NA,"F/Fmsy","FIS"
2000,4.676923077,"cod_2224",NA,"F/Fmsy","FIS"
2001,4.830769231,"cod_2224",NA,"F/Fmsy","FIS"
2002,4.692307692,"cod_2224",NA,"F/Fmsy","FIS"
2003,4.292307692,"cod_2224",NA,"F/Fmsy","FIS"
2004,4.188461538,"cod_2224",NA,"F/Fmsy","FIS"
2005,3.757692308,"cod_2224",NA,"F/Fmsy","FIS"
2006,3.338461538,"cod_2224",NA,"F/Fmsy","FIS"
2007,3.461538462,"cod_2224",NA,"F/Fmsy","FIS"
2008,3.65,"cod_2224",NA,"F/Fmsy","FIS"
2009,3.876923077,"cod_2224",NA,"F/Fmsy","FIS"
2010,3.8,"cod_2224",NA,"F/Fmsy","FIS"
2011,3.538461538,"cod_2224",NA,"F/Fmsy","FIS"
2012,3.376923077,"cod_2224",NA,"F/Fmsy","FIS"
2013,3.6,"cod_2224",NA,"F/Fmsy","FIS"
2014,3.238461538,"cod_2224",NA,"F/Fmsy","FIS"
1966,2.060869565,"cod_2532",NA,"F/Fmsy","FIS"
1967,2.639130435,"cod_2532",NA,"F/Fmsy","FIS"
1968,2.3,"cod_2532",NA,"F/Fmsy","FIS"
1969,2.247826087,"cod_2532",NA,"F/Fmsy","FIS"
1970,2.145652174,"cod_2532",NA,"F/Fmsy","FIS"
1971,1.873913043,"cod_2532",NA,"F/Fmsy","FIS"
1972,1.867391304,"cod_2532",NA,"F/Fmsy","FIS"
1973,1.856521739,"cod_2532",NA,"F/Fmsy","FIS"
1974,1.72173913,"cod_2532",NA,"F/Fmsy","FIS"
1975,1.591304348,"cod_2532",NA,"F/Fmsy","FIS"
1976,1.830434783,"cod_2532",NA,"F/Fmsy","FIS"
1977,1.789130435,"cod_2532",NA,"F/Fmsy","FIS"
1978,1.339130435,"cod_2532",NA,"F/Fmsy","FIS"
1979,1.297826087,"cod_2532",NA,"F/Fmsy","FIS"
1980,1.52173913,"cod_2532",NA,"F/Fmsy","FIS"
1981,1.713043478,"cod_2532",NA,"F/Fmsy","FIS"
1982,1.72826087,"cod_2532",NA,"F/Fmsy","FIS"
1983,1.617391304,"cod_2532",NA,"F/Fmsy","FIS"
1984,1.823913043,"cod_2532",NA,"F/Fmsy","FIS"
1985,1.802173913,"cod_2532",NA,"F/Fmsy","FIS"
1986,2.169565217,"cod_2532",NA,"F/Fmsy","FIS"
1987,2.039130435,"cod_2532",NA,"F/Fmsy","FIS"
1988,1.930434783,"cod_2532",NA,"F/Fmsy","FIS"
1989,2.25,"cod_2532",NA,"F/Fmsy","FIS"
1990,2.606521739,"cod_2532",NA,"F/Fmsy","FIS"
1991,2.930434783,"cod_2532",NA,"F/Fmsy","FIS"
1992,2.195652174,"cod_2532",NA,"F/Fmsy","FIS"
1993,1.202173913,"cod_2532",NA,"F/Fmsy","FIS"
1994,1.326086957,"cod_2532",NA,"F/Fmsy","FIS"
1995,1.667391304,"cod_2532",NA,"F/Fmsy","FIS"
1996,1.976086957,"cod_2532",NA,"F/Fmsy","FIS"
