"ices","year","value","unit","bhi_goal","data_descrip"
"cod_2224",1994,21409,"tonnes","FIS","ICES area landings"
"cod_2224",1995,29854,"tonnes","FIS","ICES area landings"
"cod_2224",1996,38335,"tonnes","FIS","ICES area landings"
"cod_2224",1997,37009,"tonnes","FIS","ICES area landings"
"cod_2224",1998,29628,"tonnes","FIS","ICES area landings"
"cod_2224",1999,35817,"tonnes","FIS","ICES area landings"
"cod_2224",2000,31653,"tonnes","FIS","ICES area landings"
"cod_2224",2001,26983,"tonnes","FIS","ICES area landings"
"cod_2224",2002,19592,"tonnes","FIS","ICES area landings"
"cod_2224",2003,18055,"tonnes","FIS","ICES area landings"
"cod_2224",2004,15916,"tonnes","FIS","ICES area landings"
"cod_2224",2005,16845,"tonnes","FIS","ICES area landings"
"cod_2224",2006,16472,"tonnes","FIS","ICES area landings"
"cod_2224",2007,15859,"tonnes","FIS","ICES area landings"
"cod_2224",2008,11148,"tonnes","FIS","ICES area landings"
"cod_2224",2009,7093,"tonnes","FIS","ICES area landings"
"cod_2224",2010,7641,"tonnes","FIS","ICES area landings"
"cod_2224",2011,8845,"tonnes","FIS","ICES area landings"
"cod_2224",2012,8654,"tonnes","FIS","ICES area landings"
"cod_2224",2013,7742,"tonnes","FIS","ICES area landings"
"cod_2224",2014,8099,"tonnes","FIS","ICES area landings"
"cod_2532",1994,100856,"tonnes","FIS","ICES area landings"
"cod_2532",1995,107718,"tonnes","FIS","ICES area landings"
"cod_2532",1996,124189,"tonnes","FIS","ICES area landings"
"cod_2532",1997,88600,"tonnes","FIS","ICES area landings"
"cod_2532",1998,67428,"tonnes","FIS","ICES area landings"
"cod_2532",1999,72995,"tonnes","FIS","ICES area landings"
"cod_2532",2000,89289,"tonnes","FIS","ICES area landings"
"cod_2532",2001,91328,"tonnes","FIS","ICES area landings"
"cod_2532",2002,67740.10974,"tonnes","FIS","ICES area landings"
"cod_2532",2003,69475.83334,"tonnes","FIS","ICES area landings"
"cod_2532",2004,68578,"tonnes","FIS","ICES area landings"
"cod_2532",2005,55032,"tonnes","FIS","ICES area landings"
"cod_2532",2006,65531.61,"tonnes","FIS","ICES area landings"
"cod_2532",2007,50843,"tonnes","FIS","ICES area landings"
"cod_2532",2008,42234.65545,"tonnes","FIS","ICES area landings"
"cod_2532",2009,48439.39764,"tonnes","FIS","ICES area landings"
"cod_2532",2010,50276.63887,"tonnes","FIS","ICES area landings"
"cod_2532",2011,50368,"tonnes","FIS","ICES area landings"
"cod_2532",2012,50972.429,"tonnes","FIS","ICES area landings"
"cod_2532",2013,31174.74501,"tonnes","FIS","ICES area landings"
"cod_2532",2014,28908,"tonnes","FIS","ICES area landings"
"her_30",1994,56380,"tonnes","FIS","ICES area landings"
"her_30",1995,61086,"tonnes","FIS","ICES area landings"
"her_30",1996,56109,"tonnes","FIS","ICES area landings"
"her_30",1997,65527,"tonnes","FIS","ICES area landings"
"her_30",1998,56892,"tonnes","FIS","ICES area landings"
"her_30",1999,62345,"tonnes","FIS","ICES area landings"
