"taxa_group","latin_name","common_name","helcom_category","helcom_category_numeric","basin","presence"
"breeding birds","Actitis hypoleucos",NA,"NT",0.2,NA,NA
"breeding birds","Alca torda",NA,"LC",0,NA,NA
"breeding birds","Anas clypeata",NA,"LC",0,NA,NA
"breeding birds","Anas platyrhynchos",NA,"LC",0,NA,NA
"breeding birds","Anas strepera",NA,"LC",0,NA,NA
"breeding birds","Anser anser",NA,"LC",0,NA,NA
"breeding birds","Anthus petrosus",NA,"LC",0,NA,NA
"breeding birds","Anthus pratensis",NA,"LC",0,NA,NA
"breeding birds","Arenaria interpres",NA,"VU",0.4,NA,NA
"breeding birds","Aythya fuligula",NA,"NT",0.2,NA,NA
"breeding birds","Aythya marila",NA,"VU",0.4,NA,NA
"breeding birds","Branta leucopsis",NA,"LC",0,NA,NA
"breeding birds","Bucephala clangula",NA,"LC",0,NA,NA
"breeding birds","Calidris alpina schinzii",NA,"EN",0.6,NA,NA
"breeding birds","Calidris temminckii",NA,"NT",0.2,NA,NA
"breeding birds","Cepphus grylle",NA,"NT",0.2,NA,NA
"breeding birds","Charadrius alexandrinus",NA,"CR",0.8,NA,NA
"breeding birds","Charadrius hiaticula hiaticula",NA,"NT",0.2,NA,NA
"breeding birds","Cygnus olor",NA,"LC",0,NA,NA
"breeding birds","Gelochelidon nilotica",NA,"RE",1,NA,NA
"breeding birds","Haematopus ostralegus",NA,"LC",0,NA,NA
"breeding birds","Haliaeetus albicilla",NA,"LC",0,NA,NA
"breeding birds","Hydroprogne caspia",NA,"VU",0.4,NA,NA
"breeding birds","Larus argentatus",NA,"LC",0,NA,NA
"breeding birds","Larus canus",NA,"LC",0,NA,NA
"breeding birds","Larus fuscus fuscus",NA,"VU",0.4,NA,NA
"breeding birds","Larus fuscus intermedius",NA,"LC",0,NA,NA
"breeding birds","Larus marinus",NA,"LC",0,NA,NA
"breeding birds","Larus melanocephalus",NA,"EN",0.6,NA,NA
"breeding birds","Larus minutus (Hydrocoloeus minutus)",NA,"LC",0,NA,NA
"breeding birds","Larus ridibundus (Chroicocephalus ridibundus)",NA,"LC",0,NA,NA
"breeding birds","Limosa limosa",NA,"NT",0.2,NA,NA
"breeding birds","Melanitta fusca",NA,"VU",0.4,NA,NA
"breeding birds","Mergus albellus (Mergellus albellus)",NA,"LC",0,NA,NA
"breeding birds","Mergus merganser",NA,"LC",0,NA,NA
"breeding birds","Mergus serrator",NA,"LC",0,NA,NA
"breeding birds","Motacilla alba",NA,"LC",0,NA,NA
"breeding birds","Oenanthe oenanthe",NA,"NT",0.2,NA,NA
"breeding birds","Pandion haliaetus",NA,"LC",0,NA,NA
"breeding birds","Phalacrocorax carbo sinensis",NA,"LC",0,NA,NA
"breeding birds","Philomachus pugnax",NA,"VU",0.4,NA,NA
"breeding birds","Podiceps auritus",NA,"VU",0.4,NA,NA
"breeding birds","Podiceps cristatus",NA,"LC",0,NA,NA
"breeding birds","Recurvirostra avosetta",NA,"LC",0,NA,NA
"breeding birds","Riparia riparia",NA,"LC",0,NA,NA
"breeding birds","Rissa tridactyla",NA,"EN",0.6,NA,NA
"breeding birds","Somateria mollissima",NA,"VU",0.4,NA,NA
"breeding birds","Stercorarius parasiticus",NA,"LC",0,NA,NA
"breeding birds","Sterna hirundo",NA,"LC",0,NA,NA
"breeding birds","Sterna paradisaea",NA,"LC",0,NA,NA
"breeding birds","Sterna sandvicensis",NA,"LC",0,NA,NA
"breeding birds","Sternula albifrons",NA,"LC",0,NA,NA
"breeding birds","Tadorna tadorna",NA,"LC",0,NA,NA
"breeding birds","Tringa totanus",NA,"NT",0.2,NA,NA
"breeding birds","Uria aalge",NA,"LC",0,NA,NA
"breeding birds","Vanellus vanellus",NA,"NT",0.2,NA,NA
"breeding birds","Xenus cinereus",NA,"EN",0.6,NA,NA
"fish","Abramis brama","Bream","LC",0,"Kattegat",0
"fish","Abramis brama","Bream","LC",0,"Great Belt",0
"fish","Abramis brama","Bream","LC",0,"Kiel Bay",1
"fish","Abramis brama","Bream","LC",0,"Bay of Mecklenburg",1
"fish","Abramis brama","Bream","LC",0,"The Sound",1
"fish","Abramis brama","Bream","LC",0,"Arkona Basin",1
"fish","Abramis brama","Bream","LC",0,"Bornholm Basin",1
"fish","Abramis brama","Bream","LC",0,"Western Gotland Basin",1
"fish","Abramis brama","Bream","LC",0,"Eastern Gotland Basin",1
"fish","Abramis brama","Bream","LC",0,"Gdansk Basin",1
"fish","Abramis brama","Bream","LC",0,"Gulf of Riga",1
"fish","Abramis brama","Bream","LC",0,"Northern Baltic Proper",1
"fish","Abramis brama","Bream","LC",0,"Gulf of Finland",1
"fish","Abramis brama","Bream","LC",0,"Aland Sea",1
"fish","Abramis brama","Bream","LC",0,"Bothnian Sea",1
"fish","Abramis brama","Bream","LC",0,"The Quark",1
"fish","Abramis brama","Bream","LC",0,"Bothnian Bay",1
"fish","Acipenser oxyrinchus","American atlantic sturgeon","RE",1,"Kattegat",0
"fish","Acipenser oxyrinchus","American atlantic sturgeon","RE",1,"Great Belt",0
"fish","Acipenser oxyrinchus","American atlantic sturgeon","RE",1,"Kiel Bay",0
"fish","Acipenser oxyrinchus","American atlantic sturgeon","RE",1,"Bay of Mecklenburg",0
"fish","Acipenser oxyrinchus","American atlantic sturgeon","RE",1,"The Sound",0
"fish","Acipenser oxyrinchus","American atlantic sturgeon","RE",1,"Arkona Basin",0
"fish","Acipenser oxyrinchus","American atlantic sturgeon","RE",1,"Bornholm Basin",1
"fish","Acipenser oxyrinchus","American atlantic sturgeon","RE",1,"Western Gotland Basin",0
"fish","Acipenser oxyrinchus","American atlantic sturgeon","RE",1,"Eastern Gotland Basin",0
"fish","Acipenser oxyrinchus","American atlantic sturgeon","RE",1,"Gdansk Basin",1
"fish","Acipenser oxyrinchus","American atlantic sturgeon","RE",1,"Gdansk Basin",0
"fish","Acipenser oxyrinchus","American atlantic sturgeon","RE",1,"Gulf of Riga",0
"fish","Acipenser oxyrinchus","American atlantic sturgeon","RE",1,"Northern Baltic Proper",0
"fish","Acipenser oxyrinchus","American atlantic sturgeon","RE",1,"Gulf of Finland",0
"fish","Acipenser oxyrinchus","American atlantic sturgeon","RE",1,"Aland Sea",0
"fish","Acipenser oxyrinchus","American atlantic sturgeon","RE",1,"Bothnian Sea",0
"fish","Acipenser oxyrinchus","American atlantic sturgeon","RE",1,"The Quark",0
"fish","Acipenser oxyrinchus","American atlantic sturgeon","RE",1,"Bothnian Bay",0
"fish","Agonus cataphractus","Hook-nose","LC",0,"Kattegat",1
"fish","Agonus cataphractus","Hook-nose","LC",0,"Great Belt",1
"fish","Agonus cataphractus","Hook-nose","LC",0,"Kiel Bay",1
"fish","Agonus cataphractus","Hook-nose","LC",0,"Bay of Mecklenburg",1
"fish","Agonus cataphractus","Hook-nose","LC",0,"The Sound",1
"fish","Agonus cataphractus","Hook-nose","LC",0,"Arkona Basin",1
"fish","Agonus cataphractus","Hook-nose","LC",0,"Bornholm Basin",1
"fish","Agonus cataphractus","Hook-nose","LC",0,"Western Gotland Basin",0
"fish","Agonus cataphractus","Hook-nose","LC",0,"Eastern Gotland Basin",0
"fish","Agonus cataphractus","Hook-nose","LC",0,"Gdansk Basin",1
"fish","Agonus cataphractus","Hook-nose","LC",0,"Gdansk Basin",0
"fish","Agonus cataphractus","Hook-nose","LC",0,"Gulf of Riga",0
"fish","Agonus cataphractus","Hook-nose","LC",0,"Northern Baltic Proper",0
"fish","Agonus cataphractus","Hook-nose","LC",0,"Gulf of Finland",0
"fish","Agonus cataphractus","Hook-nose","LC",0,"Aland Sea",0
"fish","Agonus cataphractus","Hook-nose","LC",0,"Bothnian Sea",0
"fish","Agonus cataphractus","Hook-nose","LC",0,"The Quark",0
"fish","Agonus cataphractus","Hook-nose","LC",0,"Bothnian Bay",0
"fish","Alburnus alburnus","Bleak","LC",0,"Kattegat",0
"fish","Alburnus alburnus","Bleak","LC",0,"Great Belt",0
"fish","Alburnus alburnus","Bleak","LC",0,"Kiel Bay",1
"fish","Alburnus alburnus","Bleak","LC",0,"Bay of Mecklenburg",1
"fish","Alburnus alburnus","Bleak","LC",0,"The Sound",1
"fish","Alburnus alburnus","Bleak","LC",0,"Arkona Basin",1
"fish","Alburnus alburnus","Bleak","LC",0,"Bornholm Basin",1
"fish","Alburnus alburnus","Bleak","LC",0,"Western Gotland Basin",1
"fish","Alburnus alburnus","Bleak","LC",0,"Eastern Gotland Basin",1
"fish","Alburnus alburnus","Bleak","LC",0,"Gdansk Basin",1
"fish","Alburnus alburnus","Bleak","LC",0,"Gulf of Riga",1
"fish","Alburnus alburnus","Bleak","LC",0,"Northern Baltic Proper",1
"fish","Alburnus alburnus","Bleak","LC",0,"Gulf of Finland",1
"fish","Alburnus alburnus","Bleak","LC",0,"Aland Sea",1
"fish","Alburnus alburnus","Bleak","LC",0,"Bothnian Sea",1
"fish","Alburnus alburnus","Bleak","LC",0,"The Quark",1
"fish","Alburnus alburnus","Bleak","LC",0,"Bothnian Bay",1
"fish","Alosa fallax","Twaite shad","LC",0,"Kattegat",0
"fish","Alosa fallax","Twaite shad","LC",0,"Great Belt",0
"fish","Alosa fallax","Twaite shad","LC",0,"Kiel Bay",0
"fish","Alosa fallax","Twaite shad","LC",0,"Bay of Mecklenburg",0
"fish","Alosa fallax","Twaite shad","LC",0,"The Sound",0
"fish","Alosa fallax","Twaite shad","LC",0,"Arkona Basin",1
"fish","Alosa fallax","Twaite shad","LC",0,"Bornholm Basin",1
"fish","Alosa fallax","Twaite shad","LC",0,"Western Gotland Basin",0
"fish","Alosa fallax","Twaite shad","LC",0,"Eastern Gotland Basin",1
"fish","Alosa fallax","Twaite shad","LC",0,"Gdansk Basin",1
"fish","Alosa fallax","Twaite shad","LC",0,"Gulf of Riga",1
"fish","Alosa fallax","Twaite shad","LC",0,"Northern Baltic Proper",0
"fish","Alosa fallax","Twaite shad","LC",0,"Gulf of Finland",0
"fish","Alosa fallax","Twaite shad","LC",0,"Aland Sea",0
"fish","Alosa fallax","Twaite shad","LC",0,"Bothnian Sea",0
"fish","Alosa fallax","Twaite shad","LC",0,"The Quark",0
"fish","Alosa fallax","Twaite shad","LC",0,"Bothnian Bay",0
"fish","Amblyraja radiata","Starry ray","LC",0,"Kattegat",1
"fish","Amblyraja radiata","Starry ray","LC",0,"Great Belt",0
"fish","Amblyraja radiata","Starry ray","LC",0,"Kiel Bay",0
"fish","Amblyraja radiata","Starry ray","LC",0,"Bay of Mecklenburg",0
"fish","Amblyraja radiata","Starry ray","LC",0,"The Sound",1
"fish","Amblyraja radiata","Starry ray","LC",0,"Arkona Basin",0
"fish","Amblyraja radiata","Starry ray","LC",0,"Bornholm Basin",0
"fish","Amblyraja radiata","Starry ray","LC",0,"Western Gotland Basin",0
"fish","Amblyraja radiata","Starry ray","LC",0,"Eastern Gotland Basin",0
"fish","Amblyraja radiata","Starry ray","LC",0,"Gdansk Basin",0
"fish","Amblyraja radiata","Starry ray","LC",0,"Gulf of Riga",0
"fish","Amblyraja radiata","Starry ray","LC",0,"Northern Baltic Proper",0
"fish","Amblyraja radiata","Starry ray","LC",0,"Gulf of Finland",0
